zip_code,sector,year,quarter,co2_emissions_no_solar_tons,co2_emissions_with_solar_tons,electricity_cost_no_solar_usd,electricity_cost_with_solar_usd
91901,c,2026,1,0,0,0,0
91901,c,2026,2,0,0,0,0
91901,c,2026,3,0,0,0,0
91901,c,2026,4,0,0,0,0
91901,c,2027,1,0,0,0,0
91901,c,2027,2,0,0,0,0
91901,c,2027,3,0,0,0,0
91901,c,2027,4,0,0,0,0
91901,c,2028,1,0,0,0,0
91901,c,2028,2,0,0,0,0
91901,c,2028,3,0,0,0,0
91901,c,2028,4,0,0,0,0
91901,r,2026,1,65465.86,67842.47,551299.78,188613.72
91901,r,2026,2,19258.99,19509.82,204764.65,64464.69
91901,r,2026,3,57971.5,54612.36,541001.22,145397.63
91901,r,2026,4,92613.98,87506.71,860302.52,262188.41
91901,r,2027,1,67924.26,62125.17,628712.4,166330.41
91901,r,2027,2,19525.39,20229.39,214882.31,58308.64
91901,r,2027,3,54664.48,56609.31,484658.78,163057.25
91901,r,2027,4,87548.3,86981.66,873961.35,269644.72
91901,r,2028,1,62200.06,70848.68,554434.69,178402.05
91901,r,2028,2,20245.54,21228.95,194362.13,59529.48
91901,r,2028,3,56663.34,50713.75,543524.18,159191.41
91901,r,2028,4,87023,88362.65,898815.73,268577.61
91902,c,2026,1,0,0,0,0
91902,c,2026,2,0,0,0,0
91902,c,2026,3,2118.1,0,18860.33,5683.32
91902,c,2026,4,0,0,0,0
91902,c,2027,1,0,0,0,0
91902,c,2027,2,0,0,0,0
91902,c,2027,3,2074.32,0,18944.39,5333.51
91902,c,2027,4,0,0,0,0
91902,c,2028,1,0,0,0,0
91902,c,2028,2,0,0,0,0
91902,c,2028,3,2070.21,0,17778.37,5404.46
91902,c,2028,4,0,0,0,0
91902,r,2026,1,16006.56,16325.61,148829.01,44700.18
91902,r,2026,2,6865.32,6742.03,75079.74,22087.79
91902,r,2026,3,13167.99,15616.01,147659.56,45549.66
91902,r,2026,4,17177.9,16438.85,149645.35,47923.58
91902,r,2027,1,16342.58,16499.44,149000.61,44670.03
91902,r,2027,2,6747.02,7372.43,73625.98,22306.84
91902,r,2027,3,15628.82,15348.72,151832.21,42034.65
91902,r,2027,4,16453.63,15493.6,159745.27,43755.53
91902,r,2028,1,16516.59,16518.46,148900.11,42113.59
91902,r,2028,2,7377.89,7229.67,74356.12,24061.86
91902,r,2028,3,15361.3,15782.45,140115.5,45300.77
91902,r,2028,4,15507.53,16539.3,145851.76,48090.62
91905,c,2026,1,0,0,0,0
91905,c,2026,2,0,0,0,0
91905,c,2026,3,0,0,0,0
91905,c,2026,4,0,0,0,0
91905,c,2027,1,0,0,0,0
91905,c,2027,2,0,0,0,0
91905,c,2027,3,0,0,0,0
91905,c,2027,4,0,0,0,0
91905,c,2028,1,0,0,0,0
91905,c,2028,2,0,0,0,0
91905,c,2028,3,0,0,0,0
91905,c,2028,4,0,0,0,0
91905,r,2026,1,1428.35,1296.22,11319.13,3529.86
91905,r,2026,2,150.05,137.8,1244.51,432.81
91905,r,2026,3,0,0,0,0
91905,r,2026,4,0,0,0,0
91905,r,2027,1,1299.83,1338.58,11766.2,3427.6
91905,r,2027,2,139.12,134.03,1442.72,396.88
91905,r,2027,3,0,0,0,0
91905,r,2027,4,0,0,0,0
91905,r,2028,1,1342.31,1391.45,11425.34,3304.57
91905,r,2028,2,135.31,155.37,1322.92,405.37
91905,r,2028,3,0,0,0,0
91905,r,2028,4,0,0,0,0
91906,c,2026,1,0,0,0,0
91906,c,2026,2,4983.38,4384.18,36224.38,9688.29
91906,c,2026,3,3837.75,3497.07,29065.83,10197.46
91906,c,2026,4,2760.33,2810.6,17799.35,5572.67
91906,c,2027,1,0,0,0,0
91906,c,2027,2,4400.2,5079.21,32294.29,10753.85
91906,c,2027,3,3513.74,3488.43,33991.54,8769.14
91906,c,2027,4,2822.61,2424.71,18575.57,5588.27
91906,c,2028,1,0,0,0,0
91906,c,2028,2,5097.77,4528.15,35846.16,9486.42
91906,c,2028,3,3505.06,4079.61,29230.48,9565.55
91906,c,2028,4,2435.08,2530.45,18627.55,5820.36
91906,r,2026,1,16684.33,16638.94,152816.12,44523.64
91906,r,2026,2,4057.78,4146.72,41110.89,11436.57
91906,r,2026,3,9905.46,9239.43,88025.7,25619.83
91906,r,2026,4,8709.41,8813.97,79007.66,26953.11
91906,r,2027,1,16658.44,17247.4,148412.14,43425.78
91906,r,2027,2,4151.74,4089.91,38121.89,12697.86
91906,r,2027,3,9250.15,9165.27,85399.45,23990.21
91906,r,2027,4,8821.96,8168.71,89843.7,24539.08
91906,r,2028,1,17267.61,16750.35,144752.59,41757.95
91906,r,2028,2,4094.86,3792.55,42326.19,11909.09
