period,seriesId,seriesDescription,stateId,stateDescription,value,unit
2024,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,31.118,Million metric tons CO2
2023,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,34.668,Million metric tons CO2
2022,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,35.374,Million metric tons CO2
2021,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,35.345,Million metric tons CO2
2020,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,33.649,Million metric tons CO2
2019,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,31.12,Million metric tons CO2
2018,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,33.648,Million metric tons CO2
2017,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,32.898,Million metric tons CO2
2016,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,36.471,Million metric tons CO2
2015,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,44.142,Million metric tons CO2
2014,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,46.22,Million metric tons CO2
2013,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,45.683,Million metric tons CO2
2012,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,48.017,Million metric tons CO2
2011,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,36.443,Million metric tons CO2
2010,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,43.48,Million metric tons CO2
2009,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,47.864,Million metric tons CO2
2008,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,50.906,Million metric tons CO2
2007,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,50.006,Million metric tons CO2
2006,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,46.46,Million metric tons CO2
2005,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,41.949,Million metric tons CO2
2004,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,46.369,Million metric tons CO2
2003,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,42.698,Million metric tons CO2
2002,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,43.748,Million metric tons CO2
2001,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,57.803,Million metric tons CO2
2000,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,52.923,Million metric tons CO2
1999,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,43.284,Million metric tons CO2
1998,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,39.323,Million metric tons CO2
1997,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,35.787,Million metric tons CO2
1996,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,32.787,Million metric tons CO2
1995,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,37.11,Million metric tons CO2
1994,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,49.384,Million metric tons CO2
1993,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,41.945,Million metric tons CO2
1992,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,45.53,Million metric tons CO2
1991,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,37.957,Million metric tons CO2
1990,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,40.2,Million metric tons CO2
1989,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,43.884,Million metric tons CO2
1988,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,36.329,Million metric tons CO2
1987,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,37.126,Million metric tons CO2
1986,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,27.28,Million metric tons CO2
1985,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,39.44,Million metric tons CO2
1984,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,34.126,Million metric tons CO2
1983,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,31.113,Million metric tons CO2
1982,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,37.411,Million metric tons CO2
1981,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,58.348,Million metric tons CO2
1980,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,59.597,Million metric tons CO2
1979,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,72.471,Million metric tons CO2
1978,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,64.597,Million metric tons CO2
1977,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,80.002,Million metric tons CO2
1976,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,62.579,Million metric tons CO2
1975,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,52.566,Million metric tons CO2
1974,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,47.276,Million metric tons CO2
1973,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,61.708,Million metric tons CO2
1972,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,53.96,Million metric tons CO2
1971,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,47.547,Million metric tons CO2
1970,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,45.795,Million metric tons CO2
1969,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,42.754,Million metric tons CO2
1968,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,47.755,Million metric tons CO2
1967,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,41.527,Million metric tons CO2
1966,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,43.065,Million metric tons CO2
1965,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,35.898,Million metric tons CO2
1964,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,37.592,Million metric tons CO2
1963,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,31.817,Million metric tons CO2
1962,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,29.868,Million metric tons CO2
1961,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,32.751,Million metric tons CO2
1960,TEEIE,Total energy CO2 emissions for the electric power sector,CA,California,29.074,Million metric tons CO2
