TIME,LATITUDE,LONGITUDE,ALTITUDE,TEMPERATURE,RELATIVE_HUMIDITY,Outdoor Temperature (°F),Feels Like (°F),Wind Speed (mph),Wind Gust (mph),Max Daily Gust (mph),Wind Direction (°),Rain Rate (in/hr),Event Rain (in),Daily Rain (in),Weekly Rain (in),Monthly Rain (in),Total Rain (in),Relative Pressure (inHg),Humidity (%),Ultra-Violet Radiation Index,Solar Radiation (W/m^2),Absolute Pressure (inHg),CO2 battery
2025-05-08 00:33:21,32.87,-117.24,148.7,20.54,66.57,58.5,58.5,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.09,0.23,55.34,29.84,95.0,0.0,0.0,29.78,1
2025-05-08 00:33:24,32.87,-117.24,149.1,20.35,66.51,58.5,58.5,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.09,0.23,55.34,29.84,95.0,0.0,0.0,29.78,1
2025-05-08 00:33:27,32.87,-117.24,146.35,20.32,66.6,58.5,58.5,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.09,0.23,55.34,29.84,95.0,0.0,0.0,29.78,1
2025-05-08 00:33:30,32.87,-117.24,145.1,20.19,66.65,58.5,58.5,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.09,0.23,55.34,29.84,95.0,0.0,0.0,29.78,1
2025-05-08 00:33:33,32.87,-117.24,137.13,19.87,66.6,58.5,58.5,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.09,0.23,55.34,29.84,95.0,0.0,0.0,29.78,1
2025-05-08 00:33:36,32.87,-117.25,130.95,19.75,66.89,58.5,58.5,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.09,0.23,55.34,29.84,95.0,0.0,0.0,29.78,1
2025-05-08 00:33:39,32.87,-117.25,128.1,19.61,67.57,58.5,58.5,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.09,0.23,55.34,29.84,95.0,0.0,0.0,29.78,1
2025-05-08 00:33:42,32.87,-117.25,126.8,19.49,68.11,58.5,58.5,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.09,0.23,55.34,29.84,95.0,0.0,0.0,29.78,1
2025-05-08 00:33:45,32.87,-117.25,125.6,19.36,68.57,58.5,58.5,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.09,0.23,55.34,29.84,95.0,0.0,0.0,29.78,1
2025-05-08 00:33:48,32.87,-117.25,124.6,19.36,68.84,58.5,58.5,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.09,0.23,55.34,29.84,95.0,0.0,0.0,29.78,1
2025-05-08 00:33:51,32.87,-117.25,124.38,19.3,69.14,58.5,58.5,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.09,0.23,55.34,29.84,95.0,0.0,0.0,29.78,1
2025-05-08 00:33:54,32.87,-117.25,123.65,19.11,69.32,58.5,58.5,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.09,0.23,55.34,29.84,95.0,0.0,0.0,29.78,1
2025-05-08 00:33:57,32.87,-117.25,122.63,18.97,69.62,58.5,58.5,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.09,0.23,55.34,29.84,95.0,0.0,0.0,29.78,1
2025-05-08 00:34:00,32.87,-117.25,121.92,18.94,69.94,58.5,58.5,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.09,0.23,55.34,29.84,95.0,0.0,0.0,29.78,1
2025-05-08 00:34:03,32.87,-117.24,121.75,18.81,70.15,58.5,58.5,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.09,0.23,55.34,29.84,95.0,0.0,0.0,29.78,1
